dteday,temp,atemp
2011-01-01,0.344167,0.363625
2011-02-01,0.363478,0.353739
2011-03-01,0.196364,0.189405
2011-04-01,0.2,0.212122
2011-05-01,0.226957,0.22927
2011-06-01,0.204348,0.233209
2011-07-01,0.196522,0.208839
2011-08-01,0.165,0.162254
2011-09-01,0.138333,0.116175
2011-10-01,0.150833,0.150888
2011-11-01,0.169091,0.191464
2011-12-01,0.172727,0.160473
2011-01-13,0.165,0.150883
2011-01-14,0.16087,0.188413
2011-01-15,0.233333,0.248112
2011-01-16,0.231667,0.234217
2011-01-17,0.175833,0.176771
2011-01-18,0.216667,0.232333
2011-01-19,0.292174,0.298422
2011-01-20,0.261667,0.25505
2011-01-21,0.1775,0.157833
2011-01-22,0.0591304,0.0790696
2011-01-23,0.0965217,0.0988391
2011-01-24,0.0973913,0.11793
2011-01-25,0.223478,0.234526
2011-01-26,0.2175,0.2036
2011-01-27,0.195,0.2197
2011-01-28,0.203478,0.223317
2011-01-29,0.196522,0.212126
2011-01-30,0.216522,0.250322
2011-01-31,0.180833,0.18625
2011-01-02,0.192174,0.23453
2011-02-02,0.26,0.254417
2011-03-02,0.186957,0.177878
2011-04-02,0.211304,0.228587
2011-05-02,0.233333,0.243058
2011-06-02,0.285833,0.291671
2011-07-02,0.271667,0.303658
2011-08-02,0.220833,0.198246
2011-09-02,0.134783,0.144283
2011-10-02,0.144348,0.149548
2011-11-02,0.189091,0.213509
2011-12-02,0.2225,0.232954
2011-02-13,0.316522,0.324113
2011-02-14,0.415,0.39835
2011-02-15,0.266087,0.254274
2011-02-16,0.318261,0.3162
2011-02-17,0.435833,0.428658
2011-02-18,0.521667,0.511983
2011-02-19,0.399167,0.391404
2011-02-20,0.285217,0.27733
2011-02-21,0.303333,0.284075
2011-02-22,0.182222,0.186033
2011-02-23,0.221739,0.245717
2011-02-24,0.295652,0.289191
2011-02-25,0.364348,0.350461
2011-02-26,0.2825,0.282192
2011-02-27,0.343478,0.351109
2011-02-28,0.407273,0.400118
2011-01-03,0.266667,0.263879
2011-02-03,0.335,0.320071
2011-03-03,0.198333,0.200133
2011-04-03,0.261667,0.255679
2011-05-03,0.384167,0.378779
2011-06-03,0.376522,0.366252
2011-07-03,0.261739,0.238461
2011-08-03,0.2925,0.3024
2011-09-03,0.295833,0.286608
2011-10-03,0.389091,0.385668
2011-11-03,0.316522,0.305
2011-12-03,0.329167,0.32575
2011-03-13,0.384348,0.380091
2011-03-14,0.325217,0.332
2011-03-15,0.317391,0.318178
2011-03-16,0.365217,0.36693
