LotArea,LotFrontage,BldgType,OverallQual,OverallCond,YearBuilt,HeatingQC,Label
8450,65.0,1Fam,7.0,5,2003,Ex,normal
9600,80.0,1Fam,6.0,8,1976,Ex,normal
11250,68.0,1Fam,7.0,5,2001,Ex,expensive
9550,60.0,1Fam,7.0,5,1915,Gd,normal
14260,84.0,1Fam,8.0,5,2000,Ex,expensive
14115,85.0,1Fam,5.0,5,1993,Ex,normal
10084,75.0,1Fam,8.0,5,2004,Ex,expensive
10382,,1Fam,7.0,6,1973,Ex,normal
6120,51.0,1Fam,7.0,5,1931,Gd,cheap
7420,50.0,2fmCon,5.0,6,-491,Ex,cheap
11200,70.0,1Fam,5.0,5,1965,Ex,cheap
11924,85.0,1Fam,9.0,5,2005,Ex,expensive
12968,,1Fam,5.0,6,1962,TA,normal
10652,91.0,1Fam,7.0,5,2006,Ex,expensive
10920,,1Fam,6.0,5,1960,TA,normal
6120,51.0,1Fam,7.0,8,1929,Ex,cheap
11241,,1Fam,6.0,7,1970,Ex,normal
10791,72.0,Duplex,4.0,5,1967,TA,cheap
13695,66.0,1Fam,5.0,5,2004,Ex,normal
7560,70.0,1Fam,5.0,6,1958,TA,cheap
14215,101.0,1Fam,8.0,5,2005,Ex,expensive
7449,57.0,1Fam,7.0,7,1930,Ex,cheap
9742,75.0,1Fam,8.0,5,2002,Ex,expensive
4224,44.0,TwnhsE,5.0,7,1976,TA,cheap
8246,,1Fam,5.0,8,1968,Ex,normal
14230,110.0,1Fam,8.0,5,2007,Ex,expensive
7200,60.0,1Fam,5.0,7,1951,TA,cheap
11478,98.0,1Fam,8.0,5,2007,Ex,expensive
16321,47.0,1Fam,5.0,6,1957,TA,normal
6324,60.0,,4.0,6,1927,Fa,cheap
8500,50.0,1Fam,4.0,4,1920,TA,cheap
8544,,1Fam,5.0,6,1966,Gd,normal
11049,85.0,1Fam,8.0,5,2007,Ex,normal
10552,70.0,1Fam,5.0,5,1959,Gd,normal
7313,60.0,TwnhsE,9.0,5,2005,Ex,expensive
13418,108.0,1Fam,8.0,5,-489,Ex,expensive
10859,112.0,1Fam,,5,1994,Ex,normal
8532,74.0,1Fam,5.0,6,1954,Gd,normal
7922,68.0,1Fam,5.0,7,1953,TA,cheap
6040,65.0,Duplex,4.0,5,1955,TA,cheap
8658,84.0,1Fam,6.0,5,1965,Ex,normal
16905,115.0,1Fam,5.0,6,1959,Gd,normal
9180,,1Fam,5.0,7,1983,Gd,normal
9200,,1Fam,5.0,6,1975,TA,cheap
7945,70.0,1Fam,5.0,6,1959,Ex,normal
7658,61.0,,9.0,5,2005,Ex,expensive
12822,48.0,1Fam,7.0,5,2003,Ex,expensive
11096,84.0,1Fam,8.0,5,2006,Ex,expensive
4456,33.0,2fmCon,,5,1920,Gd,cheap
7742,66.0,1Fam,5.0,7,1966,Ex,cheap
13869,,,6.0,6,1997,Gd,normal
6240,52.0,1Fam,6.0,6,1934,TA,cheap
8472,110.0,Duplex,5.0,5,1963,TA,cheap
50271,68.0,1Fam,9.0,5,1981,Gd,expensive
7134,60.0,1Fam,5.0,5,1955,TA,cheap
10175,100.0,1Fam,6.0,5,1964,Gd,normal
2645,24.0,Twnhs,8.0,5,1999,Ex,normal
11645,89.0,1Fam,7.0,5,2004,Ex,normal
13682,66.0,1Fam,10.0,5,2006,Ex,expensive
7200,60.0,,5.0,7,1972,Ex,cheap
13072,63.0,1Fam,6.0,5,2004,Ex,normal
7200,60.0,1Fam,5.0,7,1920,TA,cheap
6442,44.0,TwnhsE,8.0,5,2006,Ex,normal
10300,50.0,,7.0,6,1921,Gd,normal
9375,,1Fam,7.0,5,1997,Ex,expensive
9591,76.0,1Fam,8.0,5,2004,Ex,expensive
19900,,1Fam,7.0,5,1970,TA,normal
